company_code,company_name,finGubun,tab,search_type,id,parent_id,item,column_name,column_type,yyyy,mm,value,value_type,data_type,yyyymm
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,1,,매출총이익률,2024/09(IFRS연결),year_data,2024,09,8.09,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,2,1.0,매출총이익＜당기＞,2024/09(IFRS연결),year_data,2024,09,232.0,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,3,1.0,매출액＜당기＞,2024/09(IFRS연결),year_data,2024,09,2869.3,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,4,,영업이익률,2024/09(IFRS연결),year_data,2024,09,2.33,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,5,4.0,영업이익＜당기＞,2024/09(IFRS연결),year_data,2024,09,66.8,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,6,4.0,매출액＜당기＞,2024/09(IFRS연결),year_data,2024,09,2869.3,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,7,,순이익률,2024/09(IFRS연결),year_data,2024,09,0.96,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,8,7.0,당기순이익＜당기＞,2024/09(IFRS연결),year_data,2024,09,27.5,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,9,7.0,매출액＜당기＞,2024/09(IFRS연결),year_data,2024,09,2869.3,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,10,,EBITDA마진율,2024/09(IFRS연결),year_data,2024,09,4.76,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,11,10.0,EBITDA＜당기＞,2024/09(IFRS연결),year_data,2024,09,136.6,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,12,10.0,매출액＜당기＞,2024/09(IFRS연결),year_data,2024,09,2869.3,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,13,,ROE,2024/09(IFRS연결),year_data,2024,09,0.72,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,14,13.0,당기순이익(지배)＜당기＞,2024/09(IFRS연결),year_data,2024,09,41.8,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,15,13.0,자본총계(지배)＜전기＞,2024/09(IFRS연결),year_data,2024,09,5756.3,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,16,13.0,자본총계(지배)＜당기＞,2024/09(IFRS연결),year_data,2024,09,5752.2,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,17,,ROA,2024/09(IFRS연결),year_data,2024,09,0.61,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,18,17.0,당기순이익＜당기＞,2024/09(IFRS연결),year_data,2024,09,50.5,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,19,17.0,자산총계＜전기＞,2024/09(IFRS연결),year_data,2024,09,9509.4,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,20,17.0,자산총계＜당기＞,2024/09(IFRS연결),year_data,2024,09,9284.6,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,21,,ROIC,2024/09(IFRS연결),year_data,2024,09,1.67,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,22,21.0,NOPLAT,2024/09(IFRS연결),year_data,2024,09,41.0,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,23,21.0,IC,2024/09(IFRS연결),year_data,2024,09,2448.5,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,1,,매출액증가율,2024/09(IFRS연결),year_data,2024,09,175.73,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,2,1.0,매출액＜전기＞,2024/09(IFRS연결),year_data,2024,09,1040.6,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,3,1.0,매출액＜당기＞,2024/09(IFRS연결),year_data,2024,09,2869.3,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,4,,영업이익증가율,2024/09(IFRS연결),year_data,2024,09,1132.92,Real,IFRS연결,202409
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,5,4.0,영업이익＜전기＞,2024/09(IFRS연결),year_data,2024,09,5.4,Real,IFRS연결,202409
