company_code,company_name,finGubun,tab,search_type,id,parent_id,item,column_name,column_type,yyyy,mm,value,value_type,data_type,yyyymm
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,11,10.0,자산총계＜전기＞,2025/06(IFRS연결),year_data,2025,06,9374.9,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,12,10.0,자산총계＜당기＞,2025/06(IFRS연결),year_data,2025,06,9058.1,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,13,,유동자산증가율,2025/06(IFRS연결),year_data,2025,06,-7.71,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,14,13.0,유동자산＜전기＞,2025/06(IFRS연결),year_data,2025,06,3658.4,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,15,13.0,유동자산＜당기＞,2025/06(IFRS연결),year_data,2025,06,3376.4,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,16,,유형자산증가율,2025/06(IFRS연결),year_data,2025,06,-2.28,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,17,16.0,유형자산＜전기＞,2025/06(IFRS연결),year_data,2025,06,791.8,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,18,16.0,유형자산＜당기＞,2025/06(IFRS연결),year_data,2025,06,773.7,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,19,,자기자본증가율,2025/06(IFRS연결),year_data,2025,06,-1.06,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,20,19.0,자본총계＜전기＞,2025/06(IFRS연결),year_data,2025,06,6732.2,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,21,19.0,자본총계＜당기＞,2025/06(IFRS연결),year_data,2025,06,6661.0,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,1,,부채비율,2025/06(IFRS연결),year_data,2025,06,35.99,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,2,1.0,부채총계,2025/06(IFRS연결),year_data,2025,06,2397.2,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,3,1.0,자본총계,2025/06(IFRS연결),year_data,2025,06,6661.0,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,4,,유동부채비율,2025/06(IFRS연결),year_data,2025,06,30.56,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,5,4.0,유동부채,2025/06(IFRS연결),year_data,2025,06,2035.8,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,6,4.0,자본총계,2025/06(IFRS연결),year_data,2025,06,6661.0,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,7,,비유동부채비율,2025/06(IFRS연결),year_data,2025,06,5.43,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,8,7.0,비유동부채,2025/06(IFRS연결),year_data,2025,06,361.4,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,9,7.0,자본총계,2025/06(IFRS연결),year_data,2025,06,6661.0,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,10,,순부채비율,2025/06(IFRS연결),year_data,2025,06,-3.39,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,11,10.0,순부채,2025/06(IFRS연결),year_data,2025,06,-225.9,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,12,10.0,자본총계,2025/06(IFRS연결),year_data,2025,06,6661.0,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,13,,유동비율,2025/06(IFRS연결),year_data,2025,06,165.85,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,14,13.0,유동자산,2025/06(IFRS연결),year_data,2025,06,3376.4,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,15,13.0,유동부채,2025/06(IFRS연결),year_data,2025,06,2035.8,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,16,,당좌비율,2025/06(IFRS연결),year_data,2025,06,150.50,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,17,16.0,당좌자산,2025/06(IFRS연결),year_data,2025,06,3063.8,Real,IFRS연결,202506
004150,한솔홀딩스,K-IFRS(연결),안정성,quarter,18,16.0,유동부채,2025/06(IFRS연결),year_data,2025,06,2035.8,Real,IFRS연결,202506
