company_code,company_name,finGubun,tab,search_type,id,parent_id,item,column_name,column_type,yyyy,mm,value,value_type,data_type,yyyymm
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,2,1.0,매출액＜전기＞,2025/09(E)(IFRS연결) (연간컨센서스),year_data,2025,09,2785.7,Expected,IFRS연결,202509
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,5,4.0,영업이익＜전기＞,2025/09(E)(IFRS연결) (연간컨센서스),year_data,2025,09,74.0,Expected,IFRS연결,202509
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,8,7.0,당기순이익＜전기＞,2025/09(E)(IFRS연결) (연간컨센서스),year_data,2025,09,166.4,Expected,IFRS연결,202509
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,11,10.0,자산총계＜전기＞,2025/09(E)(IFRS연결) (연간컨센서스),year_data,2025,09,9058.1,Expected,IFRS연결,202509
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,14,13.0,유동자산＜전기＞,2025/09(E)(IFRS연결) (연간컨센서스),year_data,2025,09,3376.4,Expected,IFRS연결,202509
004150,한솔홀딩스,K-IFRS(연결),성장성,quarter,20,19.0,자본총계＜전기＞,2025/09(E)(IFRS연결) (연간컨센서스),year_data,2025,09,6661.0,Expected,IFRS연결,202509
004150,한솔홀딩스,K-IFRS(별도),성장성,quarter,2,1.0,매출액＜전기＞,2025/09(E)(IFRS별도) (연간컨센서스),year_data,2025,09,61.7,Expected,IFRS별도,202509
004150,한솔홀딩스,K-IFRS(별도),성장성,quarter,5,4.0,영업이익＜전기＞,2025/09(E)(IFRS별도) (연간컨센서스),year_data,2025,09,25.7,Expected,IFRS별도,202509
004150,한솔홀딩스,K-IFRS(별도),성장성,quarter,8,7.0,당기순이익＜전기＞,2025/09(E)(IFRS별도) (연간컨센서스),year_data,2025,09,59.6,Expected,IFRS별도,202509
004150,한솔홀딩스,K-IFRS(별도),성장성,quarter,11,10.0,자산총계＜전기＞,2025/09(E)(IFRS별도) (연간컨센서스),year_data,2025,09,4704.3,Expected,IFRS별도,202509
004150,한솔홀딩스,K-IFRS(별도),성장성,quarter,14,13.0,유동자산＜전기＞,2025/09(E)(IFRS별도) (연간컨센서스),year_data,2025,09,514.5,Expected,IFRS별도,202509
004150,한솔홀딩스,K-IFRS(별도),성장성,quarter,20,19.0,자본총계＜전기＞,2025/09(E)(IFRS별도) (연간컨센서스),year_data,2025,09,4589.2,Expected,IFRS별도,202509
