company_code,company_name,finGubun,tab,search_type,id,parent_id,item,column_name,column_type,yyyy,mm,value,value_type,data_type,yyyymm
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,1,,매출총이익률,2024/12(IFRS연결),year_data,2024,12,6.80,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,2,1.0,매출총이익＜당기＞,2024/12(IFRS연결),year_data,2024,12,201.4,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,3,1.0,매출액＜당기＞,2024/12(IFRS연결),year_data,2024,12,2961.3,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,4,,영업이익률,2024/12(IFRS연결),year_data,2024,12,0.54,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,5,4.0,영업이익＜당기＞,2024/12(IFRS연결),year_data,2024,12,15.9,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,6,4.0,매출액＜당기＞,2024/12(IFRS연결),year_data,2024,12,2961.3,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,7,,순이익률,2024/12(IFRS연결),year_data,2024,12,-4.81,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,8,7.0,당기순이익＜당기＞,2024/12(IFRS연결),year_data,2024,12,-142.6,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,9,7.0,매출액＜당기＞,2024/12(IFRS연결),year_data,2024,12,2961.3,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,10,,EBITDA마진율,2024/12(IFRS연결),year_data,2024,12,2.90,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,11,10.0,EBITDA＜당기＞,2024/12(IFRS연결),year_data,2024,12,85.7,Real,IFRS연결,202412
004150,한솔홀딩스,K-IFRS(연결),수익성,quarter,12,10.0,매출액＜당기＞,2024/12(IFRS연결),year_data,2024,12,2961.3,Real,IFRS연결,202412
